,active_parcel,deposits_record_id,district_id,liens_record_id,invoice_purchase_amount,invoice_interest,invoice_total,invoice_professional_costs,invoice_penalty,invoice_variance,date_modified,payment_validation,date_created,invoice_income_other,record_owner,last_modified_by,invoice_recording___admin,created_by_auto_redeem
34,17126-04-37-43-42-03-007-0100,34959,17126,580583,1017.05,50.85,1067.9,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
35,17126-04-37-44-05-04-000-0010,34959,17126,580558,5004.42,250.22,5254.64,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
36,17126-08-43-45-16-23-000-3180,34959,17126,579626,864.19,43.21,907.4,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
37,17126-38-43-44-21-25-000-0090,34959,17126,579994,856.71,42.84,899.55,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
38,17126-38-43-44-28-43-000-0080,34959,17126,580015,689.61,34.48,724.09,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
39,17126-50-43-42-34-14-000-0040,34959,17126,580150,42603.15,2130.16,44733.31,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
40,17126-50-43-44-23-09-003-0140,34959,17126,580162,659.07,32.95,692.02,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
41,17126-56-43-42-29-03-015-0160,34959,17126,580262,844.45,42.22,886.67,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
42,17126-56-43-42-29-03-017-0070,34959,17126,580264,1527.01,76.35,1603.36,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
43,17126-56-43-42-29-41-000-0270,34959,17126,580318,972.73,48.64,1021.37,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
44,17126-56-43-42-33-10-000-3590,34959,17126,581684,784.32,39.22,823.54,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
45,17126-74-43-43-16-09-000-1481,34959,17126,581178,1561.46,78.07,1639.53,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
46,17126-74-43-43-28-09-007-0400,34959,17126,581536,4640.74,232.04,4872.78,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
47,17126-74-43-43-33-41-003-0640,34959,17126,581557,649.24,32.46,681.7,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
48,17126-74-43-43-33-41-003-0750,34959,17126,581558,649.24,32.46,681.7,0,0,0,08-17-2017 11:55:30,Approved,08-17-2017 11:55:30,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
